opcode,time
14,1.811981201171875e-05
2,5.0067901611328125e-06
2,1.0013580322265625e-05
2,0.0
2,7.152557373046875e-07
257,0.0016508102416992188
24,0.03578782081604004
15,1.5974044799804688e-05
2,9.5367431640625e-07
2,8.344650268554688e-06
2,1.1920928955078125e-06
2,0.0
2,9.5367431640625e-07
2,1.1920928955078125e-06
16,9.5367431640625e-07
20,9.5367431640625e-07
2,9.5367431640625e-07
16,2.7894973754882812e-05
20,9.5367431640625e-07
2,9.5367431640625e-07
20,9.5367431640625e-07
3,1.0967254638671875e-05
20,1.1920928955078125e-06
3,1.9073486328125e-06
7,9.5367431640625e-07
7,9.5367431640625e-07
14,1.3113021850585938e-05
2,1.1920928955078125e-06
10,2.1457672119140625e-06
8,1.9073486328125e-06
3,2.1457672119140625e-06
15,1.2159347534179688e-05
7,1.1920928955078125e-06
65522,0.00025916099548339844
256,3.886222839355469e-05
24,0.06670475006103516
1,2.1457672119140625e-06
16,2.1457672119140625e-06
20,3.814697265625e-06
2,1.9073486328125e-05
16,2.1457672119140625e-06
20,2.1457672119140625e-06
2,4.76837158203125e-06
20,2.1457672119140625e-06
3,4.0531158447265625e-06
20,9.5367431640625e-07
3,4.0531158447265625e-06
7,9.5367431640625e-07
7,3.0994415283203125e-06
14,2.7894973754882812e-05
2,2.1457672119140625e-06
10,6.198883056640625e-06
8,5.245208740234375e-06
3,2.86102294921875e-06
15,2.5987625122070312e-05
7,1.1920928955078125e-06
65522,0.0005288124084472656
256,8.0108642578125e-05
24,0.06875801086425781
1,3.0994415283203125e-06
16,2.86102294921875e-06
20,1.9073486328125e-06
16,1.1920928955078125e-06
20,9.5367431640625e-07
20,9.5367431640625e-07
3,5.7220458984375e-06
20,1.1920928955078125e-06
3,8.344650268554688e-06
7,2.86102294921875e-06
7,5.245208740234375e-06
14,0.0006620883941650391
2,5.245208740234375e-06
10,1.71661376953125e-05
8,1.0013580322265625e-05
3,6.198883056640625e-06
15,4.696846008300781e-05
7,3.0994415283203125e-06
65522,0.0004730224609375
256,7.200241088867188e-05
24,0.10224008560180664
1,9.5367431640625e-07
16,2.86102294921875e-06
20,2.1457672119140625e-06
16,4.0531158447265625e-06
20,4.291534423828125e-06
20,2.86102294921875e-06
3,1.4781951904296875e-05
20,2.86102294921875e-06
3,8.106231689453125e-06
7,4.0531158447265625e-06
7,3.0994415283203125e-06
14,3.1948089599609375e-05
2,3.0994415283203125e-06
10,1.0251998901367188e-05
8,5.7220458984375e-06
3,2.1457672119140625e-06
15,3.504753112792969e-05
7,5.0067901611328125e-06
65522,0.0009207725524902344
256,5.412101745605469e-05
24,0.07166695594787598
1,1.6689300537109375e-06
16,2.1457672119140625e-06
20,9.5367431640625e-07
16,1.1920928955078125e-06
20,2.1457672119140625e-06
20,2.1457672119140625e-06
3,7.152557373046875e-06
20,7.867813110351562e-06
3,1.0013580322265625e-05
7,6.9141387939453125e-06
7,1.2159347534179688e-05
14,4.1961669921875e-05
2,3.0994415283203125e-06
10,8.106231689453125e-06
8,5.245208740234375e-06
3,6.9141387939453125e-06
15,3.2901763916015625e-05
7,1.1920928955078125e-06
65522,0.00043010711669921875
256,6.699562072753906e-05
24,0.0654900074005127
1,1.9073486328125e-06
16,9.5367431640625e-07
20,9.5367431640625e-07
16,2.86102294921875e-06
20,2.1457672119140625e-06
20,9.5367431640625e-07
3,5.7220458984375e-06
20,3.0994415283203125e-06
3,5.0067901611328125e-06
7,2.1457672119140625e-06
7,1.9073486328125e-06
14,3.0994415283203125e-05
2,1.9073486328125e-06
10,5.0067901611328125e-06
8,7.152557373046875e-06
3,8.106231689453125e-06
15,3.2901763916015625e-05
7,9.5367431640625e-07
65522,0.0004851818084716797
256,6.198883056640625e-05
24,0.06297683715820312
1,2.1457672119140625e-06
16,2.1457672119140625e-06
20,9.5367431640625e-07
16,9.5367431640625e-07
20,9.5367431640625e-07
20,9.5367431640625e-07
3,5.0067901611328125e-06
20,9.5367431640625e-07
3,5.0067901611328125e-06
7,1.1920928955078125e-06
7,1.9073486328125e-06
14,2.5033950805664062e-05
2,9.5367431640625e-07
10,1.0967254638671875e-05
8,1.0728836059570312e-05
3,6.9141387939453125e-06
15,2.4080276489257812e-05
7,2.1457672119140625e-06
65522,0.0004987716674804688
256,6.914138793945312e-05
24,0.06362009048461914
1,1.9073486328125e-06
16,2.1457672119140625e-06
20,4.0531158447265625e-06
16,2.1457672119140625e-06
20,2.1457672119140625e-06
20,5.0067901611328125e-06
3,7.867813110351562e-06
20,3.0994415283203125e-06
3,9.059906005859375e-06
7,2.86102294921875e-06
7,3.0994415283203125e-06
14,2.9802322387695312e-05
2,9.5367431640625e-07
10,8.106231689453125e-06
8,4.0531158447265625e-06
3,1.9073486328125e-06
15,2.7894973754882812e-05
7,7.152557373046875e-07
65522,0.0005130767822265625
256,4.1961669921875e-05
24,0.053491830825805664
1,2.86102294921875e-06
16,3.814697265625e-06
20,3.0994415283203125e-06
16,2.1457672119140625e-06
20,4.0531158447265625e-06
20,2.86102294921875e-06
3,1.2159347534179688e-05
20,6.198883056640625e-06
3,1.0728836059570312e-05
7,4.0531158447265625e-06
7,6.9141387939453125e-06
14,3.409385681152344e-05
2,2.86102294921875e-06
10,7.867813110351562e-06
8,9.059906005859375e-06
3,6.9141387939453125e-06
15,3.504753112792969e-05
7,2.86102294921875e-06
65522,0.00047326087951660156
256,8.20159912109375e-05
24,0.05481910705566406
1,3.0994415283203125e-06
16,7.867813110351562e-06
20,2.86102294921875e-06
16,2.86102294921875e-06
20,1.9073486328125e-06
20,2.1457672119140625e-06
3,1.0967254638671875e-05
20,5.0067901611328125e-06
3,6.198883056640625e-06
7,3.0994415283203125e-06
7,3.814697265625e-06
14,3.0994415283203125e-05
2,1.9073486328125e-06
10,9.059906005859375e-06
8,5.0067901611328125e-06
3,2.09808349609375e-05
15,5.316734313964844e-05
7,1.9073486328125e-06
65522,0.0007741451263427734
256,8.20159912109375e-05
24,0.05426287651062012
1,3.0994415283203125e-06
