opcode,time
14,2.002716064453125e-05
2,5.0067901611328125e-06
2,5.9604644775390625e-06
2,0.0
2,9.5367431640625e-07
257,0.002248048782348633
24,0.03740382194519043
15,1.621246337890625e-05
2,9.5367431640625e-07
2,5.9604644775390625e-06
2,0.0
2,0.0
2,9.5367431640625e-07
2,1.1920928955078125e-06
16,9.5367431640625e-07
20,9.5367431640625e-07
2,0.0
16,1.1920928955078125e-06
20,0.0
2,9.5367431640625e-07
20,9.5367431640625e-07
3,1.0967254638671875e-05
20,9.5367431640625e-07
3,3.0994415283203125e-06
7,5.0067901611328125e-06
7,9.5367431640625e-07
14,1.430511474609375e-05
2,0.0
10,2.86102294921875e-06
8,2.1457672119140625e-06
3,9.5367431640625e-07
15,1.0967254638671875e-05
7,0.0
65522,0.0002880096435546875
256,2.6941299438476562e-05
24,0.037245988845825195
1,9.5367431640625e-07
16,9.5367431640625e-07
20,1.1920928955078125e-06
2,9.5367431640625e-07
16,0.0
20,7.152557373046875e-07
2,1.1920928955078125e-06
20,1.1920928955078125e-06
3,1.9073486328125e-06
20,7.152557373046875e-07
3,1.9073486328125e-06
7,9.5367431640625e-07
7,9.5367431640625e-07
14,1.2874603271484375e-05
2,9.5367431640625e-07
10,3.0994415283203125e-06
8,2.1457672119140625e-06
3,1.9073486328125e-06
15,1.0967254638671875e-05
7,0.0
65522,0.00025177001953125
256,2.8133392333984375e-05
24,0.03080582618713379
1,1.1920928955078125e-06
16,1.1920928955078125e-06
20,1.1920928955078125e-06
16,9.5367431640625e-07
20,9.5367431640625e-07
20,1.1920928955078125e-06
3,3.0994415283203125e-06
20,9.5367431640625e-07
3,2.1457672119140625e-06
7,0.0
7,0.0
14,1.3113021850585938e-05
2,0.0
10,2.86102294921875e-06
8,2.86102294921875e-06
3,2.1457672119140625e-06
15,1.3113021850585938e-05
7,9.5367431640625e-07
65522,0.00067901611328125
256,6.985664367675781e-05
24,0.038317203521728516
1,7.152557373046875e-07
16,1.1920928955078125e-06
20,9.5367431640625e-07
16,9.5367431640625e-07
20,9.5367431640625e-07
20,9.5367431640625e-07
3,2.86102294921875e-06
20,9.5367431640625e-07
3,3.0994415283203125e-06
7,9.5367431640625e-07
7,1.1920928955078125e-06
14,3.409385681152344e-05
2,7.152557373046875e-07
10,4.0531158447265625e-06
8,2.1457672119140625e-06
3,1.9073486328125e-06
15,1.3828277587890625e-05
7,9.5367431640625e-07
65522,0.0002579689025878906
256,2.6941299438476562e-05
24,0.03965497016906738
1,0.0
16,9.5367431640625e-07
20,1.1920928955078125e-06
16,9.5367431640625e-07
20,0.0
20,0.0
3,3.0994415283203125e-06
20,9.5367431640625e-07
3,1.1920928955078125e-06
7,1.1920928955078125e-06
7,9.5367431640625e-07
14,1.430511474609375e-05
2,9.5367431640625e-07
10,2.6226043701171875e-06
8,1.9073486328125e-06
3,1.9073486328125e-06
15,1.0967254638671875e-05
7,9.5367431640625e-07
65522,0.0002570152282714844
256,2.5987625122070312e-05
24,0.03379201889038086
1,1.1920928955078125e-06
16,1.1920928955078125e-06
20,9.5367431640625e-07
16,9.5367431640625e-07
20,9.5367431640625e-07
20,0.0
3,1.6689300537109375e-06
20,9.5367431640625e-07
3,2.1457672119140625e-06
7,9.5367431640625e-07
7,9.5367431640625e-07
14,1.2159347534179688e-05
2,0.0
10,3.0994415283203125e-06
8,1.9073486328125e-06
3,1.9073486328125e-06
15,1.1920928955078125e-05
7,9.5367431640625e-07
65522,0.0002529621124267578
256,2.7179718017578125e-05
24,0.042649269104003906
1,0.0
16,1.9073486328125e-06
20,1.9073486328125e-06
16,1.1920928955078125e-06
20,9.5367431640625e-07
20,9.5367431640625e-07
3,2.86102294921875e-06
20,9.5367431640625e-07
3,4.291534423828125e-06
7,9.5367431640625e-07
7,0.0
14,1.2159347534179688e-05
2,1.1920928955078125e-06
10,3.0994415283203125e-06
8,1.6689300537109375e-06
3,2.1457672119140625e-06
15,1.0967254638671875e-05
7,9.5367431640625e-07
65522,0.0005469322204589844
256,8.296966552734375e-05
24,0.05267810821533203
1,1.1920928955078125e-06
16,9.5367431640625e-07
20,9.5367431640625e-07
16,1.1920928955078125e-06
20,1.1920928955078125e-06
20,1.1920928955078125e-06
3,2.86102294921875e-06
20,9.5367431640625e-07
3,1.9073486328125e-06
7,9.5367431640625e-07
7,0.0
14,1.2159347534179688e-05
2,1.1920928955078125e-06
10,1.6689300537109375e-06
8,2.1457672119140625e-06
3,2.1457672119140625e-06
15,1.2874603271484375e-05
7,9.5367431640625e-07
65522,0.0002758502960205078
256,3.314018249511719e-05
24,0.05004000663757324
1,7.152557373046875e-07
16,1.9073486328125e-06
20,9.5367431640625e-07
16,9.5367431640625e-07
20,9.5367431640625e-07
20,9.5367431640625e-07
3,4.0531158447265625e-06
20,9.5367431640625e-07
3,3.0994415283203125e-06
7,3.0994415283203125e-06
7,9.5367431640625e-07
14,1.1682510375976562e-05
2,9.5367431640625e-07
10,4.0531158447265625e-06
8,3.814697265625e-06
3,2.1457672119140625e-06
15,1.4066696166992188e-05
7,1.1920928955078125e-06
65522,0.0008680820465087891
256,9.894371032714844e-05
24,0.03695178031921387
1,1.1920928955078125e-06
16,1.1920928955078125e-06
20,7.152557373046875e-07
16,9.5367431640625e-07
20,1.1920928955078125e-06
20,9.5367431640625e-07
3,3.0994415283203125e-06
20,9.5367431640625e-07
3,1.9073486328125e-06
7,9.5367431640625e-07
7,7.152557373046875e-07
14,1.5020370483398438e-05
2,0.0
10,2.86102294921875e-06
8,2.1457672119140625e-06
3,2.1457672119140625e-06
15,1.5020370483398438e-05
7,9.5367431640625e-07
65522,0.0003590583801269531
256,2.9087066650390625e-05
24,0.03634500503540039
1,9.5367431640625e-07
16,2.1457672119140625e-06
20,9.5367431640625e-07
16,1.9073486328125e-06
20,9.5367431640625e-07
20,9.5367431640625e-07
3,5.0067901611328125e-06
20,7.152557373046875e-07
3,3.0994415283203125e-06
7,9.5367431640625e-07
7,9.5367431640625e-07
14,1.3828277587890625e-05
2,0.0
10,4.0531158447265625e-06
8,3.0994415283203125e-06
3,2.86102294921875e-06
